# Tomato ISA v1 — SINGLE AUTHORITY (512 ROM rows).
# status=burn: solidified datapath-backed opcodes (add here as you need more)
# status=nop: unused ROM slot (empty — not a fake mnemonic)
# Pack ROM: python3 tools/gen_microcode_v1.py --pack-rom
# Optional growth fill (legacy): python3 tools/gen_microcode_v1.py --rebuild
#
# ENCODING:
#   R-type:  {op[8:0], rd[4:0], rA[4:0], rB[4:0], rC[4:0], bank[2:0]}
#   I-type:  {op, rd, rA, imm13}              — ADDI / LW (imm=IR[12:0])
#   Store:   {op, 0, rA_data, rB_base, imm8}  — SW/SB (ALU.A=rB via mem_sel)
#   Branch:  {op, 0, off[21:0]}               — PC-relative (pc_src=1)
#
# BURN surface: ALU/logic/imm/shift/mem/branch/jump/stack/IO/system
# (see burn_core_rows in tools/gen_microcode_v1.py — do not silently drop)
#
rom_addr,region,mnemonic,group,seq_cycles,status,operation,why,ir_imm_sel,alu_op,alu_pre,cin_sel,shift_op,wb_sel,reg_we,bank_en,flags_we,mem_rd,mem_wr,byte_sel,mem_sel,branch_en,jump_type,sp_op,pc_src,pc_link_we,pc_cond,cycles,ctrl_bussel,mul_en,div_en,lut3_index,encoding,semantic_op,notes
0x1A,alu-reg,XORBC,alu-reg,1,burn,rd = rA ^ (rB & rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,XORBC,
0x1B,alu-reg,XORBO,alu-reg,1,burn,rd = rA ^ (rB | rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,XORBO,
0x1C,alu-reg,XORBX,alu-reg,1,burn,rd = rA ^ (rB ^ rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,XORBX,
0x1D,alu-reg,ANDBO,alu-reg,1,burn,rd = rA & (rB | rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ANDBO,
0x1E,alu-reg,ANDBX,alu-reg,1,burn,rd = rA & (rB ^ rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ANDBX,
0x1F,alu-reg,ANDBC,alu-reg,1,burn,rd = rA & (rB & rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ANDBC,
0x20,alu-imm,ADDI,alu-imm,1,burn,rd = rA + imm13,constants,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,off13s,ADDI,
0x21,alu-imm,ANDI,alu-imm,1,burn,rd = rA & imm,,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,imm16z,ANDI,
0x22,alu-imm,ORI,alu-imm,1,burn,rd = rA | imm,,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,imm16z,ORI,
0x23,alu-imm,XORI,alu-imm,1,burn,rd = rA ^ imm,,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,imm16z,XORI,
0x24,alu-imm,LUI,alu-imm,1,burn,rd = imm20 << 12,VGA/MMIO base,11,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,imm20,LUI,
0x25,alu-reg,ORBC,alu-reg,1,burn,rd = rA | (rB & rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ORBC,
0x26,alu-reg,ORBO,alu-reg,1,burn,rd = rA | (rB | rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ORBO,
0x27,alu-reg,ORBX,alu-reg,1,burn,rd = rA | (rB ^ rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ORBX,
0x28,alu-reg,NANDAND,alu-reg,1,burn,rd = ~(rA & (rB & rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NANDAND,
0x29,alu-imm,RORI,alu-imm,1,burn,rd = rA ror imm,,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,RORI,
0x2A,alu-reg,NANDOR,alu-reg,1,burn,rd = ~(rA & (rB | rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NANDOR,
0x2B,alu-reg,NANDXOR,alu-reg,1,burn,rd = ~(rA & (rB ^ rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NANDXOR,
0x2C,alu-reg,NANDNAND,alu-reg,1,burn,rd = ~(rA & ~(rB & rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NANDNAND,
0x2D,alu-reg,NANDNOR,alu-reg,1,burn,rd = ~(rA & ~(rB | rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NANDNOR,
0x2E,alu-reg,NANDXNOR,alu-reg,1,burn,rd = ~(rA & ~(rB ^ rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NANDXNOR,
0x2F,alu-reg,NORAND,alu-reg,1,burn,rd = ~(rA | (rB & rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NORAND,
0x30,alu-imm,ZERO,alu-imm,1,burn,rd = 0,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ZERO,
0x31,alu-imm,ONE,alu-imm,1,burn,rd = 1,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ONE,
0x32,alu-reg,NOROR,alu-reg,1,burn,rd = ~(rA | (rB | rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NOROR,
0x33,alu-reg,NORXOR,alu-reg,1,burn,rd = ~(rA | (rB ^ rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NORXOR,
0x34,alu-reg,NORNAND,alu-reg,1,burn,rd = ~(rA | ~(rB & rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NORNAND,
0x35,alu-reg,NORNOR,alu-reg,1,burn,rd = ~(rA | ~(rB | rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NORNOR,
0x36,alu-reg,NORXNOR,alu-reg,1,burn,rd = ~(rA | ~(rB ^ rC)),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,NORXNOR,
0x37,alu-reg,ANDNAND,alu-reg,1,burn,rd = rA & ~(rB & rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ANDNAND,
0x38,alu-reg,ANDNOR,alu-reg,1,burn,rd = rA & ~(rB | rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ANDNOR,
0x39,alu-reg,ANDXNOR,alu-reg,1,burn,rd = rA & ~(rB ^ rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ANDXNOR,
0x3A,alu-reg,ORNAND,alu-reg,1,burn,rd = rA | ~(rB & rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ORNAND,
0x3B,alu-reg,ORNOR,alu-reg,1,burn,rd = rA | ~(rB | rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ORNOR,
0x3C,alu-reg,ORXNOR,alu-reg,1,burn,rd = rA | ~(rB ^ rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,ORXNOR,
0x3D,alu-reg,XORNAND,alu-reg,1,burn,rd = rA ^ ~(rB & rC),nested Boolean Dual-LUT,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,reg_reg,XORNAND,
