# Tomato32 ISA profile: RV32M — maps external mnemonics onto docs/isa/opcodes.csv. Not hardware authority.
external_mnemonic,fmt,semantic_op,rom_addr,encoding_variant,ir_imm_sel,hardware_status,test_status,gap_notes
mul,R,MUL,0x080,reg_reg,0,primitive_ok,unknown,
mulh,R,MULH,0x081,reg_reg,0,primitive_ok,unknown,
mulhsu,R,MULHSU,0x083,reg_reg,0,primitive_ok,unknown,
mulhu,R,MULHU,0x082,reg_reg,0,primitive_ok,unknown,
div,R,DIV,0x090,reg_reg,0,primitive_ok,unknown,
divu,R,DIVU,0x091,reg_reg,0,primitive_ok,unknown,
rem,R,REM,0x092,reg_reg,0,primitive_ok,unknown,
remu,R,REMU,0x093,reg_reg,0,primitive_ok,unknown,
